Publication_Title,,,,,Advertisement_Type_On_Back_Matter
The Anglo-African Magazine,,,,,Contributors Page
Ringwood's Afro American Journal of Fashion,,,,,Contributors Page
The Voice of the Negro,,,,,Education 
The Crisis,,,,,Book List by Black Authors
Negro Yearbook: An Encyclopedia of the Negro,,,,,Contributors Page
Negro Yearbook: An Encyclopedia of the Negro,,,,,Contributors Page
The Half-Century Magazine,,,,,Advice Column
Black History Bulletin,,,,,Membership Form 
The Black Panther Party Newspaper,,,,,Illustration
Black World (Negro Digest),,,,,Education 
Ebony,,,,,Leisure
Jet,,,,,Leisure
Essence,,,,,Leisure
Ebony Jr!,,,,,Education 
Muhammad Speaks,,,,,Foreign Relations
The BAD Times (Black Americans for Democracy),,,,,Campus Engagment
Black Enterprise,,,,,Auto
Black Dialogue ,,,,,Education 
The Grassroot Struggle: The Official Organ of The Black Citizens Task Force,,,,,Education 
Freedomways,,,,,Illustration
Soulbook: Quarterly Journal of Revolutionary Afroamerica,,,,,Education 